Reporting_Airline,DelayType,DelayAmount
Southwest,CarrierDelay,2
Southwest,CarrierDelay,24
United Air Lines,CarrierDelay,22
Delta Air Lines,CarrierDelay,7
Southwest,CarrierDelay,11
ExpressJet Airlines,CarrierDelay,34
ExpressJet Airlines,CarrierDelay,5
American Airlines,CarrierDelay,14
Delta Air Lines,CarrierDelay,9
Southwest,CarrierDelay,10
Southwest,CarrierDelay,11
Delta Air Lines,CarrierDelay,10
American Airlines,CarrierDelay,15
ExpressJet Airlines,CarrierDelay,55
Southwest,CarrierDelay,9
Southwest,CarrierDelay,5
Southwest,CarrierDelay,15
Southwest,CarrierDelay,4
United Air Lines,CarrierDelay,34
Southwest,CarrierDelay,70
Southwest,CarrierDelay,52
Southwest,CarrierDelay,3
American Airlines,CarrierDelay,4
ExpressJet Airlines,CarrierDelay,42
SkyWest Airlines,CarrierDelay,10
Delta Air Lines,CarrierDelay,15
Southwest,CarrierDelay,85
Southwest,CarrierDelay,1
Southwest,CarrierDelay,11
Delta Air Lines,CarrierDelay,14
American Airlines,CarrierDelay,45
Southwest,CarrierDelay,15
United Air Lines,CarrierDelay,193
ExpressJet Airlines,CarrierDelay,57
United Air Lines,CarrierDelay,5
Southwest,CarrierDelay,10
Southwest,CarrierDelay,11
Southwest,CarrierDelay,3
Delta Air Lines,CarrierDelay,1
United Air Lines,CarrierDelay,10
SkyWest Airlines,CarrierDelay,18
Southwest,CarrierDelay,7
American Airlines,CarrierDelay,3
ExpressJet Airlines,CarrierDelay,22
SkyWest Airlines,CarrierDelay,469
Southwest,CarrierDelay,4
ExpressJet Airlines,CarrierDelay,35
ExpressJet Airlines,CarrierDelay,23
Southwest,CarrierDelay,14
Southwest,CarrierDelay,16
Delta Air Lines,CarrierDelay,17
SkyWest Airlines,CarrierDelay,16
ExpressJet Airlines,CarrierDelay,3
Southwest,CarrierDelay,6
American Airlines,CarrierDelay,2
Southwest,CarrierDelay,39
American Airlines,CarrierDelay,3
ExpressJet Airlines,CarrierDelay,15
SkyWest Airlines,CarrierDelay,141
American Airlines,CarrierDelay,7
Southwest,CarrierDelay,19
United Air Lines,CarrierDelay,133
Southwest,CarrierDelay,1
United Air Lines,CarrierDelay,31
ExpressJet Airlines,CarrierDelay,15
ExpressJet Airlines,CarrierDelay,76
American Airlines,CarrierDelay,23
SkyWest Airlines,CarrierDelay,35
Southwest,CarrierDelay,23
Southwest,CarrierDelay,35
SkyWest Airlines,CarrierDelay,14
American Airlines,CarrierDelay,17
Southwest,CarrierDelay,15
SkyWest Airlines,CarrierDelay,163
Delta Air Lines,CarrierDelay,2
Southwest,CarrierDelay,1
Delta Air Lines,CarrierDelay,11
Delta Air Lines,CarrierDelay,14
SkyWest Airlines,CarrierDelay,954
SkyWest Airlines,CarrierDelay,17
SkyWest Airlines,CarrierDelay,48
American Airlines,CarrierDelay,16
United Air Lines,CarrierDelay,45
SkyWest Airlines,CarrierDelay,38
Southwest,CarrierDelay,45
Southwest,CarrierDelay,13
Southwest,CarrierDelay,27
United Air Lines,CarrierDelay,9
SkyWest Airlines,CarrierDelay,256
Southwest,CarrierDelay,8
Delta Air Lines,CarrierDelay,1
Southwest,CarrierDelay,15
Southwest,CarrierDelay,11
Southwest,CarrierDelay,92
American Airlines,CarrierDelay,20
Delta Air Lines,CarrierDelay,37
Delta Air Lines,CarrierDelay,6
United Air Lines,CarrierDelay,73
ExpressJet Airlines,CarrierDelay,5
United Air Lines,CarrierDelay,22
American Airlines,CarrierDelay,15
United Air Lines,CarrierDelay,12
SkyWest Airlines,CarrierDelay,287
Southwest,CarrierDelay,23
SkyWest Airlines,CarrierDelay,20
Southwest,CarrierDelay,57
Southwest,CarrierDelay,38
ExpressJet Airlines,CarrierDelay,83
Delta Air Lines,CarrierDelay,5
Southwest,CarrierDelay,9
Southwest,CarrierDelay,16
Southwest,CarrierDelay,5
SkyWest Airlines,CarrierDelay,6
Southwest,CarrierDelay,10
Southwest,CarrierDelay,37
SkyWest Airlines,CarrierDelay,15
Southwest,CarrierDelay,15
Delta Air Lines,CarrierDelay,108
Southwest,CarrierDelay,3
Delta Air Lines,CarrierDelay,5
American Airlines,CarrierDelay,7
ExpressJet Airlines,CarrierDelay,23
Delta Air Lines,CarrierDelay,55
Southwest,CarrierDelay,62
United Air Lines,CarrierDelay,5
Southwest,CarrierDelay,4
ExpressJet Airlines,CarrierDelay,225
ExpressJet Airlines,CarrierDelay,32
Delta Air Lines,CarrierDelay,21
SkyWest Airlines,CarrierDelay,17
Southwest,CarrierDelay,17
ExpressJet Airlines,CarrierDelay,15
Delta Air Lines,CarrierDelay,463
American Airlines,CarrierDelay,15
American Airlines,CarrierDelay,31
ExpressJet Airlines,CarrierDelay,66
United Air Lines,CarrierDelay,46
Delta Air Lines,CarrierDelay,1
American Airlines,CarrierDelay,7
Delta Air Lines,CarrierDelay,36
SkyWest Airlines,CarrierDelay,70
Southwest,CarrierDelay,41
Southwest,CarrierDelay,67
American Airlines,CarrierDelay,4
American Airlines,CarrierDelay,3
American Airlines,CarrierDelay,63
Delta Air Lines,CarrierDelay,102
SkyWest Airlines,CarrierDelay,271
United Air Lines,CarrierDelay,11
Delta Air Lines,CarrierDelay,21
American Airlines,CarrierDelay,43
Southwest,CarrierDelay,5
American Airlines,CarrierDelay,61
Delta Air Lines,CarrierDelay,27
United Air Lines,CarrierDelay,15
American Airlines,CarrierDelay,89
SkyWest Airlines,CarrierDelay,6
SkyWest Airlines,CarrierDelay,69
United Air Lines,CarrierDelay,6
Southwest,CarrierDelay,16
Delta Air Lines,CarrierDelay,2
ExpressJet Airlines,CarrierDelay,61
Delta Air Lines,CarrierDelay,9
Delta Air Lines,CarrierDelay,5
Southwest,CarrierDelay,3
Delta Air Lines,CarrierDelay,27
SkyWest Airlines,CarrierDelay,5
American Airlines,CarrierDelay,93
Southwest,CarrierDelay,10
Delta Air Lines,CarrierDelay,11
Southwest,CarrierDelay,33
Southwest,CarrierDelay,1
Delta Air Lines,CarrierDelay,483
Southwest,CarrierDelay,3
ExpressJet Airlines,CarrierDelay,29
ExpressJet Airlines,CarrierDelay,27
Southwest,CarrierDelay,22
Southwest,CarrierDelay,11
Southwest,CarrierDelay,48
American Airlines,CarrierDelay,20
Southwest,CarrierDelay,15
American Airlines,CarrierDelay,14
Southwest,CarrierDelay,17
United Air Lines,CarrierDelay,37
American Airlines,CarrierDelay,2
Southwest,CarrierDelay,13
Southwest,CarrierDelay,3
Delta Air Lines,CarrierDelay,4
American Airlines,CarrierDelay,26
Southwest,CarrierDelay,9
Southwest,CarrierDelay,18
Delta Air Lines,CarrierDelay,1
Southwest,CarrierDelay,16
SkyWest Airlines,CarrierDelay,852
American Airlines,CarrierDelay,22
Southwest,CarrierDelay,11
United Air Lines,CarrierDelay,45
Southwest,CarrierDelay,11
Southwest,CarrierDelay,17
SkyWest Airlines,CarrierDelay,16
Southwest,CarrierDelay,7
Southwest,CarrierDelay,4
United Air Lines,CarrierDelay,64
American Airlines,CarrierDelay,17
Delta Air Lines,CarrierDelay,12
SkyWest Airlines,CarrierDelay,60
SkyWest Airlines,CarrierDelay,9
Southwest,CarrierDelay,13
United Air Lines,CarrierDelay,3
American Airlines,CarrierDelay,5
Southwest,CarrierDelay,1
United Air Lines,CarrierDelay,31
Southwest,CarrierDelay,15
Southwest,CarrierDelay,3
ExpressJet Airlines,CarrierDelay,30
Delta Air Lines,CarrierDelay,53
United Air Lines,CarrierDelay,14
Southwest,CarrierDelay,3
Southwest,CarrierDelay,5
United Air Lines,CarrierDelay,299
United Air Lines,CarrierDelay,24
SkyWest Airlines,CarrierDelay,454
Southwest,CarrierDelay,8
Southwest,CarrierDelay,7
Southwest,CarrierDelay,6
Southwest,CarrierDelay,14
Delta Air Lines,CarrierDelay,1
American Airlines,CarrierDelay,23
Delta Air Lines,CarrierDelay,46
SkyWest Airlines,CarrierDelay,11
Southwest,CarrierDelay,1
SkyWest Airlines,CarrierDelay,78
Southwest,CarrierDelay,164
American Airlines,CarrierDelay,2
Delta Air Lines,CarrierDelay,59
Southwest,CarrierDelay,12
SkyWest Airlines,CarrierDelay,44
Southwest,CarrierDelay,107
SkyWest Airlines,CarrierDelay,24
Southwest,CarrierDelay,103
United Air Lines,CarrierDelay,34
Southwest,CarrierDelay,17
ExpressJet Airlines,CarrierDelay,1
American Airlines,CarrierDelay,2
Southwest,CarrierDelay,15
Southwest,CarrierDelay,6
Delta Air Lines,CarrierDelay,9
Southwest,CarrierDelay,44
United Air Lines,CarrierDelay,7
United Air Lines,CarrierDelay,10
ExpressJet Airlines,CarrierDelay,47
United Air Lines,CarrierDelay,17
SkyWest Airlines,CarrierDelay,24
