Reporting_Airline,DestStateName,ArrDelay
Southwest,Texas,29
Southwest,Texas,-5
SkyWest Airlines,California,-19
United Air Lines,Illinois,-12
ExpressJet Airlines,Georgia,-2
ExpressJet Airlines,Georgia,-25
Southwest,California,-22
Southwest,California,-28
Southwest,California,35
Southwest,Illinois,-4
American Airlines,California,-16
ExpressJet Airlines,Texas,89
Southwest,Texas,-4
Delta Air Lines,Georgia,11
Southwest,California,-11
United Air Lines,California,-10
Delta Air Lines,California,-4
Delta Air Lines,Illinois,57
United Air Lines,Texas,22
Southwest,Florida,-38
SkyWest Airlines,Texas,0
United Air Lines,Florida,-15
Southwest,Texas,21
United Air Lines,Illinois,-4
Delta Air Lines,Georgia,-12
Delta Air Lines,California,-44
American Airlines,Illinois,9
Delta Air Lines,Georgia,7
American Airlines,California,-33
United Air Lines,Texas,-6
Southwest,California,72
SkyWest Airlines,Illinois,-15
Delta Air Lines,Georgia,-15
American Airlines,Illinois,-9
Southwest,Illinois,-25
Delta Air Lines,Florida,2
United Air Lines,Texas,2
Southwest,California,-43
United Air Lines,Texas,-7
SkyWest Airlines,Illinois,1
Southwest,California,11
Delta Air Lines,Texas,-9
American Airlines,Illinois,-11
SkyWest Airlines,Texas,5
Delta Air Lines,Georgia,8
American Airlines,Texas,-1
American Airlines,Illinois,-13
SkyWest Airlines,Illinois,29
United Air Lines,California,-24
Southwest,Texas,-7
ExpressJet Airlines,Georgia,-3
SkyWest Airlines,Illinois,-24
American Airlines,Texas,-24
American Airlines,California,31
American Airlines,California,8
Southwest,Florida,4
Southwest,California,-14
United Air Lines,Colorado,-29
Delta Air Lines,Texas,-11
United Air Lines,Texas,10
American Airlines,Illinois,-9
American Airlines,Florida,-7
SkyWest Airlines,Texas,-11
Southwest,Florida,8
Southwest,California,-19
American Airlines,Florida,-16
SkyWest Airlines,California,-16
American Airlines,Texas,-3
American Airlines,Texas,11
Delta Air Lines,California,-4
Delta Air Lines,Georgia,12
Southwest,Texas,-5
Southwest,California,-12
Southwest,Colorado,-21
American Airlines,California,-20
Southwest,California,-7
United Air Lines,Georgia,21
American Airlines,Florida,-25
Southwest,Florida,21
Southwest,California,15
American Airlines,California,4
Southwest,Texas,-13
ExpressJet Airlines,Illinois,-19
Southwest,California,-6
SkyWest Airlines,Texas,-2
Southwest,Illinois,-20
United Air Lines,Texas,-17
Delta Air Lines,Georgia,54
American Airlines,Texas,-17
ExpressJet Airlines,Texas,-18
Southwest,Texas,-9
Delta Air Lines,Florida,-4
American Airlines,Florida,15
Southwest,Florida,-20
SkyWest Airlines,California,3
Southwest,California,92
Southwest,Texas,12
Delta Air Lines,Georgia,-16
ExpressJet Airlines,Texas,-16
